l_id,v_id_1,v_id_2,color
29038,5437,5388,k-
39303,21513,16751,k-
27072,2103,20158,k-
12721,9402,18598,k-
39546,3377,17033,r-
17575,24470,24471,k-
12763,6162,22329,k-
39397,15951,16862,k-
30290,6816,6833,k-
9123,3230,20643,k-
5531,4472,28471,r-
2751,1863,30804,k-
39263,287,556,k-
33036,7198,9622,k-
13078,18680,18681,k-
32825,9376,9369,k-
4728,29192,29628,k-
12830,17720,22351,k-
13188,6592,18686,k-
5836,21846,28554,k-
33046,9627,9630,k-
37182,29161,369,r-
29604,5711,5994,k-
11340,18437,18443,k-
18811,12323,17838,k-
33638,10247,10248,k-
28637,337,4934,k-
217,17157,29731,k-
3502,27843,31106,k-
14404,8042,23034,k-
41684,2256,2257,k-
6262,22819,28688,k-
42691,30306,3282,k-
5483,21212,28457,k-
18607,12066,24920,k-
27002,3134,20118,k-
12799,10903,18610,k-
23233,16117,27136,k-
17489,16724,24444,k-
2006,18733,30485,k-
341,2163,29784,k-
24305,16856,27613,k-
6319,6955,28704,k-
36709,26089,14133,k-
1038,30058,30081,k-
29634,5997,6045,k-
19697,17444,25447,k-
35694,153,161,k-
6422,11957,28737,k-
33742,10379,10381,k-
29849,18565,6312,k-
7837,16454,29303,k-
29071,21971,5361,k-
32514,9061,9042,k-
35870,18326,13229,k-
17699,9445,24527,k-
15488,9340,23549,k-
38535,15744,15961,k-
20950,14029,26041,k-
36137,8014,13499,k-
30899,7087,7464,k-
6561,3,28779,k-
3674,27017,31176,k-
26390,19825,19826,k-
2063,28982,30510,k-
30979,22776,7519,k-
30749,6931,7288,k-
29026,5460,5384,k-
38562,27035,15988,k-
9072,18305,18300,k-
39322,16764,16768,k-
26735,19986,19985,k-
7193,10256,29041,k-
6501,24831,28761,k-
3700,20230,31187,k-
33246,25875,9843,k-
26108,19695,19696,k-
7616,1363,29214,k-
17697,11219,24526,k-
29972,3596,6488,k-
20264,13480,25747,k-
37017,595,329,r-
10638,21379,21378,k-
9650,20904,20906,k-
1399,1011,30230,k-
36181,19135,217,k-
32312,4893,8831,k-
14551,18173,23099,k-
4661,2975,29608,k-
8711,2801,20488,k-
31863,8372,8374,k-
8761,2846,20496,k-
22842,15839,26971,k-
26495,13444,17783,k-
9304,3358,20754,k-
25704,16780,18091,k-
21137,11953,26130,k-
3900,20341,31258,k-
34822,11844,11847,k-
10872,4402,21492,k-
6332,6978,28707,k-
2608,775,30742,k-
485,21811,29844,k-
25793,19292,19543,k-
3688,29599,31181,k-
33758,3286,10401,k-
42025,20394,2576,k-
40254,790,791,k-
12114,14170,18537,k-
36354,4766,13740,k-
31237,19047,7805,k-
13640,18118,22666,k-
32790,616,9337,k-
11976,16039,21983,k-
4288,940,29502,k-
38342,14620,15742,k-
3838,29889,31236,k-
35221,25086,12394,r-
16262,10086,23874,k-
39602,10802,17110,k-
27820,3907,3928,k-
6912,9145,28918,k-
32127,2333,8634,k-
40240,395,770,k-
18146,11609,24730,k-
30651,7226,7208,k-
6288,22485,28694,k-
35910,9203,183,k-
2772,20168,30812,k-
1083,25953,30099,k-
28826,2604,5150,k-
6382,19984,28726,k-
23450,13872,27242,k-
6600,7926,28792,k-
41563,3005,2122,k-
37640,15021,15026,k-
8374,2476,20324,k-
3057,4958,30929,k-
794,23857,29979,k-
5132,14522,28307,k-
14288,20903,22978,k-
20699,413,25945,k-
16105,28673,23792,k-
27830,21864,3935,k-
5297,20811,28404,r-
33368,23828,9965,k-
15481,9320,23547,k-
18810,7627,25011,k-
33903,10595,10596,k-
27182,20151,20210,k-
20316,104,19096,k-
33783,10443,10444,k-
553,8038,29875,k-
15375,9200,23497,k-
39828,17396,17398,k-
12708,6125,22313,k-
11336,18439,18440,k-
5775,4664,28536,k-
30015,6523,6540,k-
42375,2925,2926,k-
5290,28089,28404,k-
18136,4385,24726,k-
38515,15566,15932,k-
22997,15983,27027,k-
9997,21085,21086,k-
12206,18573,18575,k-
35951,3761,13312,k-
4298,3444,29505,k-
8593,20428,20431,k-
25887,771,19594,k-
19292,25242,25243,k-
287,1862,29759,k-
268,4351,29750,k-
40115,6933,657,k-
9631,322,20897,k-
6854,8982,28895,k-
32328,8845,8846,k-
32109,8612,8613,k-
8617,2724,20445,k-
41520,2075,2076,k-
18914,22381,25057,k-
5133,26271,28308,k-
38860,7970,16274,k-
37168,14527,14530,k-
12201,6262,18572,k-
42402,2957,2960,k-
13059,18629,18671,k-
32910,23595,9464,k-
11521,17296,18486,k-
10966,5697,18420,k-
42719,2795,3310,k-
31822,3135,8333,k-
41359,1898,1904,r-
7141,18306,29022,k-
4563,5169,29579,k-
19425,13144,25310,k-
33596,10202,10203,k-
32163,8663,8664,r-
1304,25411,30186,k-
5379,20976,28426,k-
8563,2697,20416,k-
6925,9156,28921,k-
31778,8298,8304,k-
13982,22834,22835,k-
39012,1727,16433,k-
35432,6871,12677,k-
13032,15109,18663,k-
9475,3400,20833,k-
7325,18448,29100,k-
16404,23941,23942,k-
28151,23718,4352,r-
12897,7951,22378,r-
33291,9901,9905,k-
16588,24032,24031,k-
10359,33,21264,r-
22659,14229,26861,k-
5442,16987,28444,k-
15517,6327,23561,k-
7076,30523,28998,k-
7631,575,29113,k-
33115,115,9693,k-
32336,8850,8858,k-
2760,31310,30808,k-
29546,18570,5941,k-
38200,19436,464,r-
5229,19757,28373,k-
6706,18138,28839,k-
3686,4328,31181,k-
17963,24648,24649,k-
1992,359,30479,k-
42082,2671,2670,k-
3163,30968,30970,k-
5053,25274,28250,k-
33395,10003,10004,k-
8775,2872,20503,k-
1858,22705,30417,k-
15882,9716,23698,k-
27734,3766,3835,r-
86,30026,29671,k-
11641,17714,21832,k-
33612,10216,10193,k-
32908,9460,9463,k-
33876,5328,10562,k-
37391,411,426,k-
41347,1394,1891,r-
7414,20317,29140,r-
7790,30212,29284,k-
42035,20404,2630,k-
18553,24899,24900,k-
6996,28953,28955,k-
2900,10167,30867,k-
21378,21456,26241,k-
2779,1977,30815,k-
40259,446,796,k-
4810,8974,28121,k-
20090,13372,25654,k-
34847,4500,11884,k-
27726,21107,3834,k-
18566,8927,24905,k-
30047,6592,6589,k-
41383,1837,1924,r-
13382,22551,22555,k-
5523,6652,28470,r-
39515,8126,16995,k-
28043,2546,4201,k-
23197,31296,27117,k-
12966,13074,18638,k-
33090,9666,9667,k-
23222,4022,27131,k-
40804,1211,1327,r-
27421,30318,3532,r-
30415,6974,6976,k-
1950,30011,30461,k-
12410,22190,22165,k-
25050,27971,27973,k-
32492,9026,9024,k-
11697,5132,21859,k-
1926,8260,30448,r-
35329,9535,106,r-
17803,24578,24582,k-
15021,23334,23335,k-
30185,6727,6732,k-
9592,1517,20883,k-
35327,25110,12543,k-
31023,3433,7569,k-
25539,8158,19433,k-
38254,13083,474,k-
25457,29949,19390,k-
35970,13342,13343,k-
13128,19413,22441,k-
15612,23590,23591,k-
6869,30990,28898,k-
38431,15837,15838,k-
13916,22805,22807,k-
23179,3510,19270,k-
33271,23793,9886,k-
32775,2102,9322,k-
11397,11862,18451,k-
32699,6322,9241,k-
13459,18699,18709,k-
24571,27433,27735,k-
8379,2449,20327,k-
21016,26071,26076,k-
13576,7156,22631,k-
31541,861,8083,k-
11968,21979,21980,k-
28391,20954,4643,k-
23311,6790,27177,k-
12824,6227,22349,k-
16435,23957,23958,k-
15066,8934,23354,k-
4806,8647,28120,k-
14555,8291,23101,k-
38579,1343,16011,k-
9922,21037,21039,r-
14333,22997,22998,k-
34597,31064,11560,k-
33579,10182,10183,k-
509,18412,29857,k-
18489,11942,24867,k-
41514,3665,2068,k-
3676,30206,31177,k-
7314,2641,29097,k-
6593,24929,28789,k-
31870,8379,8380,k-
4163,17447,29467,k-
13757,7439,22727,k-
5773,4797,28535,k-
15872,9702,23692,k-
20626,25908,25915,k-
14917,8822,23285,k-
27988,3106,4135,r-
16275,10090,23883,k-
1032,10211,30079,k-
3490,29248,31101,r-
13578,22629,22631,k-
5598,4394,28491,r-
18335,24799,24806,k-
27347,681,3456,k-
31206,1799,7781,k-
23025,9702,27042,k-
30164,18285,6705,k-
40797,223,1325,k-
31088,22846,7636,k-
8417,2522,20347,k-
23698,16378,27351,k-
21684,1436,26399,k-
33528,9573,10132,k-
13460,18706,18709,k-
5544,16247,28476,k-
14877,20251,23262,k-
566,15844,29882,k-
6759,23186,28857,k-
4282,19689,29500,k-
1031,10206,30079,k-
12569,22246,22247,k-
9487,3410,20838,k-
11344,18442,18444,k-
36126,20969,206,r-
13368,6700,22548,k-
2911,3586,30872,r-
16263,23872,23874,k-
5779,4818,28537,k-
15592,9457,23583,k-
18602,12066,24918,k-
14463,8120,23061,k-
28375,4179,4625,k-
31763,28583,8296,k-
30877,7434,7435,k-
18722,13778,24971,k-
16592,15371,24034,k-
20064,16522,25639,k-
20047,25627,25630,k-
27315,20837,3407,k-
12559,8729,22241,k-
1910,19746,30440,k-
7661,28269,29230,k-
8453,29937,20365,k-
797,6408,29980,k-
34903,11904,11953,k-
15402,9239,23511,k-
36730,10161,14147,k-
25802,19548,19549,k-
2857,3343,30850,k-
12304,22107,22109,k-
37009,4402,14390,k-
8811,3990,20520,k-
6986,7810,28950,k-
7081,23784,28652,k-
22624,26845,26847,k-
31486,8025,8026,k-
4247,19554,29495,k-
8372,6210,20323,k-
27248,10392,20247,k-
15025,11438,18759,k-
13535,6687,22611,k-
20237,13458,25735,k-
7346,24883,29114,k-
21335,16139,26227,k-
14864,6812,23255,k-
3153,7988,30966,k-
759,3894,29961,k-
32356,8826,8878,k-
8002,19319,29358,r-
11454,21766,21763,k-
29682,3133,6109,k-
9991,28440,21084,k-
38573,2343,16005,k-
3207,9013,30989,k-
14879,8731,23263,k-
33353,9963,9966,k-
42419,2501,2971,k-
36741,14161,14163,k-
13055,18678,18668,k-
32521,3531,9045,k-
11699,5134,21860,k-
12566,6016,22246,k-
32848,23570,9400,k-
24213,10321,19299,k-
30565,15901,7113,k-
23021,16000,27040,k-
28155,4357,4356,r-
4260,910,29498,k-
7039,9697,28907,k-
28831,5157,5156,k-
16088,9870,23789,k-
1762,5770,30378,k-
23191,27113,27114,k-
25990,1007,19639,k-
27456,950,3558,k-
26098,19982,19691,k-
17482,11670,24440,k-
13555,7127,22621,k-
26248,56,19745,k-
12496,3397,22210,k-
38017,8515,15434,k-
28197,4405,4407,k-
18173,30135,24740,k-
20829,13917,25994,k-
8621,2731,20447,k-
33439,9632,10055,k-
4853,19081,28146,k-
30733,6934,7282,k-
10099,3861,21135,k-
15610,9465,23591,k-
14037,781,22862,k-
13974,7524,22831,k-
24997,14380,27950,k-
27431,3537,3539,k-
9338,28404,20776,k-
5857,26988,28558,k-
10113,28380,18355,k-
27466,3516,3566,k-
42398,2825,2953,k-
31078,28782,7629,k-
7958,23228,29345,k-
3093,7031,30941,k-
3263,9884,31012,k-
19172,12629,25173,k-
42030,572,2626,k-
14911,8799,23282,k-
37362,407,417,k-
32498,9022,9028,k-
38541,17086,15968,k-
18246,24769,24767,k-
9386,20791,20804,r-
2655,1231,30760,k-
4779,28106,28107,k-
28424,4602,4685,k-
28283,4474,4507,k-
15389,9222,23507,k-
18632,2520,18012,k-
40090,2708,605,k-
28097,3469,4258,k-
34688,10796,11679,k-
5361,28730,28424,k-
40786,1310,1313,k-
31052,6691,7607,k-
34165,8953,10976,k-
38246,22614,473,k-
13824,7496,22760,k-
11444,12242,21761,k-
30896,7449,7459,r-
10369,21269,21270,k-
41088,19981,1616,k-
30697,9574,7250,k-
33194,5050,9792,k-
1713,5065,30358,k-
39146,7526,16576,k-
40680,19701,1210,r-
14748,19124,23194,k-
254,21377,29744,k-
35388,116,121,r-
465,27706,29836,k-
42731,17812,3327,k-
21436,14496,26270,k-
32921,9440,9479,k-
25361,7688,19351,k-
6143,30926,28655,k-
32857,8224,9406,k-
3432,9544,31078,k-
18018,11497,24673,k-
25854,19576,19577,k-
31999,6855,8506,k-
22633,26849,26850,k-
41895,9342,2463,k-
34947,11532,12010,k-
4091,26098,31325,k-
15085,8949,23363,k-
28241,21519,4445,k-
5011,24776,28229,k-
29900,6382,6384,k-
12378,22148,22149,r-
16365,18875,18880,k-
6889,21951,28908,k-
24354,16896,27639,k-
39278,16344,16716,k-
30369,5119,6925,k-
24925,27917,27913,k-
31672,8229,8228,k-
23251,27144,27146,k-
9758,19998,20957,k-
21379,26239,26241,k-
7492,29233,29169,k-
33531,10077,10134,k-
32595,23472,9130,k-
23321,7885,27180,k-
32230,8739,8738,k-
15511,21004,23557,k-
40520,1046,1060,k-
23256,29392,27149,k-
1109,2143,30109,k-
504,4854,29855,k-
6327,18694,28706,k-
28232,26171,4440,k-
34961,12027,12028,k-
476,3935,29840,k-
5027,24891,28235,k-
39657,17181,17183,k-
7169,23921,29030,k-
3402,12789,31065,k-
7171,603,29032,k-
26185,2986,19726,k-
28350,4570,4573,k-
30539,9820,7091,k-
6523,22813,28767,k-
33329,9937,9938,k-
15866,23689,23690,k-
42327,2462,2886,k-
27498,3604,3603,k-
16613,23973,24043,k-
14882,23265,23266,r-
35666,20826,12965,r-
19620,25399,25398,k-
15688,4687,18836,k-
38574,9103,16007,k-
20109,25664,25665,k-
26040,416,19662,k-
4865,16322,28153,k-
36898,26188,14308,k-
36535,19210,283,k-
9618,18338,18339,k-
10876,19723,21494,k-
30913,1829,7476,k-
38396,11396,15798,k-
5179,878,28341,k-
16475,10302,23975,k-
13530,21133,22608,k-
32697,19749,9240,k-
22368,14785,26736,k-
36624,9368,14037,k-
10046,3837,21112,k-
6362,9823,28718,k-
11230,4782,21672,k-
14514,8194,23085,k-
7645,1506,29226,k-
2430,2537,30667,k-
31897,8397,8398,k-
12413,4394,22168,r-
14849,11583,23247,k-
39646,14628,17175,k-
39085,549,550,k-
26144,8844,18135,k-
27155,16094,20200,k-
31411,30419,7957,k-
20910,3782,19151,k-
12124,18547,18545,k-
18115,24716,24717,k-
31060,22820,7615,k-
25826,19564,19565,k-
30261,899,6774,k-
33592,10195,10197,k-
6688,9389,28830,k-
37212,126,380,k-
11221,825,21667,k-
10922,14238,21519,k-
9469,3387,20830,k-
18546,12005,24896,k-
27383,2483,3496,k-
8890,6710,18282,k-
22949,236,19242,k-
26350,1402,19806,k-
29979,6898,6503,k-
40732,68,1261,k-
12384,5859,22153,k-
32735,9279,9280,k-
7095,9914,29004,k-
15775,23644,23646,r-
31104,7320,7653,k-
709,28415,29941,k-
466,18370,29837,k-
38307,3670,15708,k-
30350,1837,6893,r-
32199,8663,8701,r-
22859,7117,17950,k-
30814,15289,7368,k-
3858,25950,31243,k-
3902,21318,31258,k-
19491,25332,25337,k-
9080,9961,18302,k-
26979,1995,20106,k-
2559,1833,30721,k-
16745,10541,24105,k-
20540,18020,17850,k-
11111,8054,18427,k-
19517,116,19069,r-
3773,22222,31213,k-
33086,9664,9676,k-
25192,8698,28041,k-
35097,11004,12219,k-
35802,2911,13121,k-
15939,23722,23723,k-
5136,26274,28310,k-
40108,19398,651,k-
35751,168,169,k-
36227,9190,234,k-
9385,20789,20804,r-
42517,2080,3086,k-
20619,25915,25911,k-
13515,19358,22602,k-
9274,20736,20737,k-
32286,8803,8809,k-
17171,2371,24314,k-
41551,5750,2104,k-
6130,6603,28654,k-
41613,1150,2177,k-
1996,30480,30481,k-
18649,15088,19057,k-
13962,7524,22829,k-
22883,26985,26987,k-
6040,131,28622,k-
1951,29344,30461,k-
549,7557,29874,k-
414,7405,29815,k-
25367,550,19355,k-
34965,24868,12035,k-
5519,4052,28469,k-
25437,8436,19382,k-
3181,3667,30979,k-
13414,2042,18704,k-
40244,775,776,k-
701,22203,29938,k-
15542,7006,23570,k-
15986,19687,23740,k-
41292,19289,1830,k-
21432,14504,26267,k-
39079,16502,16503,k-
16021,9801,23758,r-
18145,22722,24730,k-
21008,14059,26072,k-
2105,10179,30527,k-
6824,3534,28883,k-
39842,27974,17419,k-
34593,7315,11552,k-
25638,19455,19484,k-
5317,1226,28410,k-
26099,3286,19692,k-
15988,9777,23741,k-
25044,11052,27971,k-
7223,2927,29057,k-
32567,30471,9103,k-
4082,21090,31321,k-
17395,2771,24401,k-
20783,28564,19133,k-
26949,1951,20092,k-
6464,22705,28751,k-
17541,9214,24460,k-
5371,20974,28419,k-
12423,22173,22174,k-
16124,9893,23802,k-
6884,4588,28906,k-
39619,15964,17142,k-
11876,5326,21936,k-
15871,7197,23692,k-
42737,30947,3331,k-
30257,10069,6799,k-
9879,3727,21016,k-
14271,2800,22970,k-
31683,8235,8236,k-
12442,5879,22183,k-
24216,19300,19301,k-
41729,2300,2304,k-
15136,23387,23388,k-
16989,21817,17733,k-
27476,3547,3571,k-
1527,16280,30280,k-
6810,8804,28878,k-
27912,11870,4041,k-
35930,12822,13288,k-
4686,21014,29615,k-
1040,28564,30082,k-
23892,12620,27437,k-
20755,5306,25971,k-
9375,20777,20801,k-
31946,8451,8452,k-
36394,12295,13777,k-
23228,11647,27134,k-
33163,6320,9757,k-
25713,1011,19509,k-
20161,10640,25698,k-
8889,6705,18281,k-
2864,29553,30853,r-
28321,4542,4543,k-
33959,791,10666,k-
32129,2056,8630,k-
41754,20279,2327,k-
18659,12122,24937,k-
32569,20445,9105,k-
41923,29204,2462,k-
31635,28820,8194,k-
10650,3052,21383,k-
29411,5764,5798,k-
12615,6041,22268,k-
5292,20790,28404,k-
33343,23823,9959,k-
28359,4599,4593,k-
33080,3499,9661,k-
16737,10548,24101,k-
339,2027,29783,k-
33747,7370,10385,k-
27217,20227,20228,k-
30218,6756,6758,k-
2672,30768,30769,k-
5117,18026,28300,k-
41473,2027,2028,k-
39786,23154,610,k-
33585,23920,10189,k-
15736,18820,18848,k-
16200,10004,23841,k-
32461,5050,8992,k-
31520,8056,8060,k-
31944,30454,8450,k-
32541,3585,9061,k-
6074,9384,28634,k-
22366,6380,26736,k-
10120,11824,21145,k-
20083,19084,19085,k-
33047,9627,9631,k-
6049,14045,28625,k-
40226,756,757,k-
13693,22695,22697,k-
41438,1960,1990,k-
28024,2340,4167,k-
11445,17845,18462,k-
15058,18768,18764,k-
5424,1898,28440,r-
26699,1713,17698,k-
7688,31089,29239,k-
6404,7195,28734,k-
7012,28438,28966,k-
14330,7957,22996,k-
7779,2824,29278,k-
26633,1690,19944,k-
32799,7118,9344,k-
30095,3317,6613,k-
29872,29878,6341,k-
6316,6955,28703,k-
40382,912,913,k-
41840,2403,2404,k-
41738,384,2286,k-
9559,3461,20867,k-
19288,25240,25241,k-
13000,18648,18650,k-
10337,820,21256,k-
5551,4192,28478,k-
6395,1389,28733,k-
12464,19044,22195,k-
16266,28740,23875,k-
40978,1498,1499,k-
20628,1444,25916,k-
11464,21767,21768,k-
41342,1898,1890,r-
20423,13610,25819,k-
11824,5283,21909,k-
38415,13128,495,k-
21231,14223,26178,k-
37702,9109,15087,k-
29308,3023,5676,k-
32059,3738,8565,k-
42183,29387,2756,k-
32696,6321,9238,k-
22478,15534,26790,k-
7440,29150,29151,r-
42216,2795,2796,k-
10923,12338,21520,k-
33679,10299,10307,k-
1450,26023,30252,k-
40907,19814,1424,k-
2819,20394,30831,k-
31508,8048,8049,k-
17444,8949,24427,k-
31228,8727,7802,r-
42467,3032,3033,k-
10885,4418,21499,k-
30141,6658,6674,k-
37184,368,369,k-
35117,4964,12242,k-
24485,15499,27698,k-
14586,8326,23118,k-
23380,16178,27205,k-
34986,12068,12069,k-
18089,11548,24704,k-
42501,3075,3074,k-
26586,1524,19919,k-
21193,26160,26161,k-
31241,7810,7809,k-
26596,20621,19925,k-
11030,13410,21570,k-
29938,6429,6439,k-
14947,23296,23297,k-
19296,25243,25245,k-
25334,19337,19338,k-
17280,11611,24348,k-
39932,17508,17509,k-
25375,136,19359,k-
33689,5354,10318,k-
26889,1882,20058,k-
2204,28783,30568,k-
35667,8405,12967,k-
14749,23192,23194,k-
6542,8503,28772,k-
3824,31335,31231,k-
18500,24872,24873,k-
38792,16203,16202,k-
4723,2390,29626,k-
22690,6922,26871,k-
28056,5565,4217,k-
20926,26026,26030,k-
4876,7315,28160,k-
29824,6263,6281,k-
33584,23920,10188,k-
6846,12023,28892,k-
36946,30820,317,k-
42678,2202,3269,k-
2017,23574,30490,k-
23217,27128,27129,k-
5001,24649,28223,k-
8599,20425,20433,k-
16076,6679,23782,k-
33821,10751,10484,k-
9688,3605,20924,k-
5131,14522,28306,k-
3702,20232,31187,k-
13108,7318,22430,k-
12967,18607,18640,k-
11493,17984,21770,k-
20101,25646,25661,k-
15509,382,23556,k-
23615,4742,27313,k-
30283,18149,6828,k-
26733,28584,19985,k-
4591,20350,29587,k-
7759,14182,29267,k-
15856,19167,23685,k-
20705,1189,19122,k-
26485,11375,19876,k-
6258,9064,28687,k-
29501,5892,5893,k-
35359,4629,12570,k-
32238,8771,8751,k-
1408,392,30233,k-
40170,246,699,k-
29068,22014,5419,k-
30826,7379,7380,k-
4474,20834,29551,k-
707,864,29941,k-
30716,7265,7267,k-
11429,4961,21754,k-
36141,6861,13506,k-
31954,10154,8458,k-
6370,23630,28722,k-
29739,6148,6174,k-
12387,22154,22155,k-
31882,8387,8386,k-
25972,89,19629,k-
12662,6081,22291,k-
24200,606,19294,k-
12116,5755,18540,k-
27159,29431,20202,k-
18516,457,24882,k-
29686,2996,6117,k-
37340,14697,14707,k-
15985,19686,23740,k-
19618,29628,25396,k-
13275,6579,22506,k-
2735,30776,30798,k-
29784,22344,6227,k-
34619,8955,11589,k-
32880,9427,9428,k-
14295,30481,18737,k-
29689,6119,6120,k-
41063,5589,1583,k-
15410,9252,23514,k-
18908,12447,25054,k-
3542,1232,31121,k-
33117,23690,9695,k-
15241,23437,23438,k-
3842,29882,31238,k-
38297,11105,15697,k-
28465,4657,4748,k-
35390,376,122,k-
3233,3581,31000,k-
41471,2085,2028,k-
29702,6129,6133,k-
10821,18372,18406,k-
15049,8917,23348,k-
5353,3568,28422,k-
38373,1498,487,k-
31768,8306,8301,k-
11590,21811,21810,k-
3247,9719,31005,k-
2311,30618,30619,k-
5642,4456,28500,k-
33027,14080,9562,k-
33289,9901,9904,k-
41803,2327,2372,k-
15712,9552,23629,k-
3553,1227,31126,k-
29834,12813,6292,k-
38626,227,518,r-
947,6722,30044,k-
41296,770,1831,k-
30704,1774,7256,k-
11395,18449,18450,k-
26230,18113,19737,k-
10587,4294,21354,k-
39096,13114,16519,k-
15846,7799,23680,r-
24509,3419,18040,k-
30581,7131,7132,k-
18395,24832,24830,k-
4341,13906,29514,k-
42382,706,2935,k-
13857,5881,22777,k-
23477,27252,27253,k-
38448,9716,15863,k-
27350,2444,3460,k-
12470,5922,22197,k-
23671,16361,27340,k-
23674,27298,27341,k-
4620,29595,29596,k-
38519,15948,15942,k-
30395,358,6958,k-
42720,3313,3315,k-
20875,30635,26015,k-
41203,1748,1742,k-
41001,1520,1518,k-
8363,29140,20317,r-
21175,26150,26152,k-
30187,6732,6733,k-
1909,17614,30440,k-
40982,1355,1507,k-
40269,24797,818,k-
10980,21546,21547,k-
6061,23562,28630,k-
9099,18306,18307,k-
28202,4035,4412,k-
19050,3099,25119,k-
22651,15714,26858,k-
29155,5597,5522,k-
20689,7096,25939,k-
25535,678,19431,k-
16237,6178,23861,k-
17886,19979,24615,k-
9710,20934,20935,k-
20819,25009,25991,k-
37428,14772,14801,k-
36433,25954,13831,k-
23529,11954,27276,k-
11841,5136,21917,k-
26368,19814,19816,k-
32685,6720,9226,k-
612,5979,29903,r-
41346,20069,1891,r-
5382,3815,28426,k-
21169,21373,26148,k-
34998,11801,12079,k-
1167,24726,30130,k-
31857,23791,8363,k-
41446,1976,2003,k-
8514,20423,20396,k-
18522,24886,24887,k-
9729,20943,20944,k-
40698,28410,1224,k-
25931,29479,19612,k-
9513,20844,20848,k-
4685,20502,29615,k-
13079,18649,18682,k-
13664,22660,22682,k-
23669,12338,27339,k-
8405,2453,20339,k-
37556,21495,14931,k-
13359,6671,22544,k-
26387,1445,19825,k-
15373,28889,23495,k-
14383,5676,23024,k-
17928,11422,24629,k-
16040,19460,23765,k-
37476,19308,431,k-
9625,3513,20894,k-
42406,714,2965,k-
19182,464,25178,r-
